net,length_um
_08652_,33.46
net1628,33.42
_05486_,33.4
_05901_,33.4
CPU.cycles\[25\],33.36
CPU.registerFile\[1\]\[18\],33.35
CPU.registerFile\[4\]\[9\],33.3
clknet_0__08469_,33.28
_03760_,33.18
CPU.aluReg\[15\],33.14
CPU.aluReg\[6\],33.115
CPU.registerFile\[1\]\[27\],33.1
_06023_,33.1
per_uart.rx_data\[2\],33.085
CPU.registerFile\[12\]\[6\],33.08
_03453_,33.04
_05408_,33.04
_03764_,33.02
_07782_,33.015
_08504_,32.98
CPU.registerFile\[12\]\[27\],32.96
_08818_,32.96
_03342_,32.94
clknet_0__08491_,32.92
_05257_,32.91
_08697_,32.88
_03186_,32.82
net1464,32.82
CPU.registerFile\[2\]\[24\],32.8
_08508_,32.8
_08741_,32.8
CPU.registerFile\[5\]\[27\],32.74
_08510_,32.74
CPU.registerFile\[9\]\[0\],32.72
CPU.registerFile\[4\]\[17\],32.68
_04986_,32.645
_03485_,32.62
mapped_spi_ram.rcv_data\[24\],32.6
_03382_,32.59
_03804_,32.54
_06448_,32.52
clknet_0__03680_,32.47
CPU.registerFile\[17\]\[11\],32.46
_06271_,32.43
_03782_,32.42
_06117_,32.42
_03651_,32.4
_04100_,32.34
mapped_spi_ram.rcv_data\[19\],32.27
CPU.registerFile\[26\]\[3\],32.26
net1399,32.125
_04032_,32.06
_03756_,32.02
_04489_,32.02
_05694_,31.98
clknet_0__03689_,31.98
_05403_,31.96
_03845_,31.94
per_uart.rx_data\[6\],31.925
per_uart.uart0.tx_count16\[0\],31.92
_05448_,31.88
_08563_,31.88
clknet_0__03691_,31.88
_03348_,31.85
CPU.registerFile\[1\]\[5\],31.84
_03856_,31.82
_03465_,31.8
CPU.registerFile\[1\]\[23\],31.76
_08442_,31.74
_05396_,31.715
_05032_,31.62
_05420_,31.62
_08459_,31.6
_08666_,31.58
CPU.registerFile\[12\]\[4\],31.57
clknet_0__08507_,31.56
_06241_,31.52
_06183_,31.5
mapped_spi_flash.rcv_data\[5\],31.5
clknet_leaf_1_clk,31.5
CPU.registerFile\[8\]\[19\],31.46
_05267_,31.42
_06415_,31.42
clknet_0__08474_,31.41
_05357_,31.4
_08481_,31.4
_08494_,31.4
clknet_0__08479_,31.39
_03499_,31.38
_03689_,31.38
_08735_,31.38
_05374_,31.34
_06401_,31.34
_04078_,31.3
CPU.cycles\[1\],31.24
CPU.registerFile\[19\]\[8\],31.24
CPU.registerFile\[24\]\[25\],31.24
clknet_1_1__leaf__08460_,31.2
_08725_,31.18
CPU.registerFile\[22\]\[9\],31.12
_08775_,31.12
_08387_,31.1
net1499,31.1
CPU.registerFile\[2\]\[31\],31.04
CPU.registerFile\[7\]\[3\],31.02
_04055_,30.895
per_uart.d_in_uart\[4\],30.88
_08283_,30.87
_02840_,30.8
_04374_,30.8
_04198_,30.78
CPU.registerFile\[11\]\[25\],30.74
_05725_,30.74
_05922_,30.72
_06103_,30.7
_08297_,30.68
_08450_,30.68
_05578_,30.66
CPU.registerFile\[10\]\[13\],30.62
per_uart.uart0.rx_bitcount\[3\],30.62
CPU.registerFile\[9\]\[2\],30.54
CPU.registerFile\[16\]\[9\],30.52
_05453_,30.52
CPU.registerFile\[2\]\[22\],30.5
_07781_,30.5
_05413_,30.48
_05488_,30.48
_03990_,30.44
_04823_,30.44
_06355_,30.44
_07838_,30.38
_04336_,30.34
_04782_,30.32
_06282_,30.32
_08281_,30.3
CPU.registerFile\[20\]\[5\],30.24
_05024_,30.24
clknet_0__08477_,30.22
_06286_,30.2
clknet_0__08457_,30.19
_05973_,30.18
_08760_,30.17
CPU.registerFile\[28\]\[4\],30.13
per_uart.rx_error,30.08
_08279_,30.04
_06490_,30
_03377_,29.98
CPU.registerFile\[5\]\[13\],29.96
_04142_,29.96
mapped_spi_ram.rcv_data\[12\],29.96
_05868_,29.92
_05808_,29.84
_06422_,29.84
_03450_,29.82
_03932_,29.82
_04147_,29.74
_04477_,29.74
mapped_spi_flash.rcv_data\[9\],29.74
_03644_,29.72
CPU.registerFile\[19\]\[20\],29.7
_04666_,29.6
_05261_,29.6
_06410_,29.6
clknet_0__08461_,29.6
net1359,29.58
CPU.registerFile\[12\]\[20\],29.56
mapped_spi_ram.rcv_data\[7\],29.54
mapped_spi_ram.rcv_data\[21\],29.53
_03126_,29.52
per_uart.d_in_uart\[3\],29.52
CPU.registerFile\[4\]\[2\],29.5
CPU.registerFile\[28\]\[24\],29.4
_06381_,29.4
CPU.registerFile\[22\]\[5\],29.36
_03192_,29.36
_05351_,29.32
_05381_,29.29
CPU.registerFile\[22\]\[27\],29.26
CPU.registerFile\[13\]\[11\],29.24
CPU.aluShamt\[0\],29.22
_03680_,29.18
_03893_,29.16
_04575_,29.1
_06378_,29.06
_05830_,29.02
CPU.registerFile\[17\]\[8\],29
CPU.registerFile\[5\]\[28\],28.98
CPU.aluReg\[17\],28.96
_05883_,28.96
_05639_,28.92
per_uart.uart0.tx_count16\[1\],28.91
_03146_,28.9
CPU.registerFile\[12\]\[23\],28.88
_05313_,28.88
_02737_,28.86
_04250_,28.82
CPU.registerFile\[2\]\[27\],28.8
net1534,28.78
net1304,28.77
CPU.registerFile\[7\]\[11\],28.74
_02732_,28.72
CPU.registerFile\[17\]\[13\],28.62
net1435,28.61
CPU.registerFile\[14\]\[11\],28.6
_03731_,28.545
_04071_,28.52
_04083_,28.48
_04773_,28.48
_05043_,28.48
_05816_,28.48
_05466_,28.46
CPU.registerFile\[10\]\[21\],28.45
_06122_,28.44
CPU.registerFile\[4\]\[20\],28.4
_04614_,28.4
_05108_,28.4
clknet_0__03685_,28.4
CPU.cycles\[19\],28.385
CPU.registerFile\[9\]\[20\],28.38
_03521_,28.38
_06139_,28.38
_05040_,28.34
CPU.registerFile\[4\]\[18\],28.32
CPU.registerFile\[25\]\[8\],28.28
_06468_,28.28
_08435_,28.28
_04835_,28.26
_08275_,28.26
mapped_spi_ram.snd_bitcount\[0\],28.26
CPU.registerFile\[22\]\[28\],28.24
CPU.registerFile\[14\]\[6\],28.18
CPU.registerFile\[5\]\[3\],28.18
_04878_,28.18
CPU.registerFile\[26\]\[13\],28.16
CPU.registerFile\[26\]\[4\],28.15
CPU.registerFile\[8\]\[18\],28.14
_02916_,28.1
CPU.registerFile\[28\]\[28\],28.08
_05383_,28.06
CPU.registerFile\[14\]\[9\],28
per_uart.uart0.tx_bitcount\[1\],28
_02827_,27.98
_04110_,27.98
_04047_,27.94
_05094_,27.94
_05661_,27.94
_04548_,27.9
_08626_,27.9
clknet_0__08476_,27.88
_08767_,27.86
CPU.registerFile\[23\]\[6\],27.82
_03975_,27.8
_04701_,27.8
CPU.aluReg\[30\],27.78
_06814_,27.75
_04463_,27.71
CPU.registerFile\[25\]\[15\],27.7
_08670_,27.7
CPU.registerFile\[1\]\[15\],27.66
_06074_,27.66
clknet_0__08496_,27.63
CPU.registerFile\[31\]\[16\],27.62
CPU.registerFile\[26\]\[15\],27.6
_08487_,27.6
CPU.registerFile\[7\]\[16\],27.56
_04573_,27.56
CPU.registerFile\[8\]\[31\],27.54
_05616_,27.52
_06357_,27.48
_03394_,27.46
mapped_spi_flash.rcv_data\[11\],27.46
CPU.registerFile\[3\]\[3\],27.44
_05253_,27.44
clknet_0__08442_,27.42
CPU.registerFile\[11\]\[7\],27.4
_03430_,27.38
_08321_,27.36
_08505_,27.36
_06424_,27.35
_03380_,27.34
_06453_,27.34
_08295_,27.32
_05831_,27.3
CPU.registerFile\[17\]\[7\],27.28
_04745_,27.28
_04975_,27.28
CPU.registerFile\[8\]\[21\],27.26
_05307_,27.2
CPU.registerFile\[20\]\[4\],27.18
_03168_,27.18
_03964_,27.14
clknet_0__08456_,27.14
net1448,27.115
_03805_,27.1
net1433,27.1
CPU.registerFile\[12\]\[29\],27.08
clknet_0__03642_,27.07
mapped_spi_ram.rcv_data\[15\],27.06
_04133_,27.04
_04204_,26.98
_05388_,26.98
clknet_0__08339_,26.96
net1404,26.96
_05394_,26.94
CPU.registerFile\[1\]\[26\],26.92
_04990_,26.92
_03471_,26.88
CPU.registerFile\[25\]\[25\],26.84
_02841_,26.82
clknet_0__08470_,26.82
CPU.registerFile\[27\]\[24\],26.8
CPU.registerFile\[23\]\[16\],26.76
_06697_,26.76
CPU.registerFile\[2\]\[21\],26.74
net1357,26.7
_03840_,26.68
_04398_,26.68
CPU.registerFile\[12\]\[28\],26.66
_08447_,26.63
_03658_,26.62
_08438_,26.62
CPU.registerFile\[20\]\[1\],26.58
_08354_,26.58
mapped_spi_ram.snd_bitcount\[3\],26.58
_03997_,26.56
_05599_,26.56
_06153_,26.56
_06342_,26.56
_07503_,26.56
CPU.registerFile\[25\]\[31\],26.54
CPU.registerFile\[20\]\[2\],26.52
CPU.registerFile\[5\]\[8\],26.52
_04356_,26.52
_03900_,26.48
_07742_,26.48
_08551_,26.48
CPU.aluReg\[5\],26.44
CPU.registerFile\[3\]\[22\],26.44
_06979_,26.43
net1352,26.43
CPU.registerFile\[15\]\[7\],26.4
_06078_,26.4
_06319_,26.4
mapped_spi_flash.cmd_addr\[22\],26.4
CPU.registerFile\[10\]\[16\],26.38
_06002_,26.38
_08289_,26.38
_07675_,26.355
clknet_0__03641_,26.34
CPU.aluShamt\[1\],26.32
_04843_,26.32
per_uart.d_in_uart\[6\],26.32
clknet_0__08481_,26.32
net1485,26.3
CPU.aluReg\[9\],26.26
_05090_,26.26
_06388_,26.26
_06096_,26.24
_02772_,26.205
_03917_,26.2
_03890_,26.18
_06081_,26.18
CPU.registerFile\[31\]\[4\],26.16
_06859_,26.14
CPU.registerFile\[12\]\[31\],26.12
_04163_,26.1
_05986_,26.1
_06184_,26.1
CPU.registerFile\[1\]\[9\],26.08
CPU.registerFile\[25\]\[30\],26.08
_04714_,26.08
_05299_,26.07
_03304_,26.06
CPU.registerFile\[23\]\[23\],26.04
_08475_,26.02
_03882_,26
CPU.registerFile\[23\]\[13\],25.99
CPU.registerFile\[17\]\[17\],25.98
CPU.registerFile\[2\]\[4\],25.98
_03408_,25.96
net499,25.94
_05067_,25.92
_05624_,25.9
mapped_spi_ram.rcv_data\[18\],25.9
per_uart.d_in_uart\[0\],25.84
per_uart.uart0.rx_count16\[0\],25.84
net1368,25.84
CPU.registerFile\[10\]\[15\],25.8
CPU.registerFile\[11\]\[0\],25.78
_06792_,25.78
_06444_,25.76
CPU.registerFile\[14\]\[25\],25.74
_03286_,25.74
_04800_,25.74
_03679_,25.72
CPU.cycles\[7\],25.68
_05263_,25.68
_06435_,25.68
per_uart.uart0.rxd_reg\[6\],25.66
_04970_,25.64
CPU.registerFile\[2\]\[20\],25.6
_03428_,25.6
_08303_,25.57
CPU.registerFile\[4\]\[21\],25.56
_08811_,25.56
mapped_spi_ram.rcv_data\[8\],25.56
CPU.registerFile\[13\]\[0\],25.52
CPU.cycles\[22\],25.5
CPU.registerFile\[6\]\[26\],25.5
_04498_,25.5
_05626_,25.5
CPU.registerFile\[12\]\[18\],25.44
_03197_,25.44
_05445_,25.44
net1378,25.44
_06163_,25.42
CPU.registerFile\[14\]\[5\],25.4
CPU.registerFile\[25\]\[28\],25.4
_03920_,25.4
_06290_,25.4
_08299_,25.4
_05455_,25.38
mapped_spi_ram.rcv_data\[20\],25.36
CPU.registerFile\[2\]\[29\],25.34
_06477_,25.32
CPU.registerFile\[20\]\[12\],25.29
_03738_,25.28
_08792_,25.28
_03451_,25.22
_03606_,25.22
_03786_,25.22
CPU.registerFile\[15\]\[19\],25.2
_04338_,25.18
_05072_,25.18
_08681_,25.18
CPU.registerFile\[1\]\[13\],25.14
CPU.registerFile\[3\]\[24\],25.14
CPU.rs2\[13\],25.14
clknet_0__08439_,25.14
CPU.registerFile\[11\]\[16\],25.12
clknet_0__03649_,25.12
net1300,25.1
net2628,25.1
_06206_,25.095
CPU.registerFile\[31\]\[8\],25.08
_03137_,25.08
CPU.registerFile\[13\]\[4\],25.06
CPU.registerFile\[26\]\[0\],25.06
CPU.registerFile\[30\]\[6\],25.06
_05902_,25.06
CPU.registerFile\[28\]\[9\],25.04
_04536_,25.04
_05368_,25
_08315_,25
CPU.registerFile\[3\]\[25\],24.98
_08277_,24.98
CPU.registerFile\[17\]\[10\],24.94
CPU.registerFile\[7\]\[14\],24.94
_05712_,24.94
CPU.registerFile\[7\]\[2\],24.92
_02776_,24.92
_02813_,24.92
_06364_,24.92
_04710_,24.9
_06467_,24.895
CPU.registerFile\[25\]\[3\],24.89
_08287_,24.88
CPU.registerFile\[12\]\[0\],24.87
_05363_,24.86
_03247_,24.82
net1646,24.82
CPU.registerFile\[19\]\[19\],24.8
_02847_,24.8
CPU.registerFile\[20\]\[7\],24.78
_04191_,24.76
net1488,24.76
CPU.cycles\[10\],24.735
net1460,24.72
CPU.registerFile\[5\]\[24\],24.68
_06221_,24.68
_05180_,24.62
CPU.registerFile\[26\]\[5\],24.58
_04864_,24.58
CPU.registerFile\[20\]\[27\],24.56
_07672_,24.56
_08684_,24.56
_08651_,24.52
CPU.registerFile\[6\]\[22\],24.5
_04384_,24.48
CPU.aluReg\[0\],24.42
_05577_,24.42
CPU.registerFile\[4\]\[30\],24.4
_08471_,24.38
CPU.registerFile\[9\]\[21\],24.36
_03922_,24.34
_04808_,24.34
_08861_,24.34
CPU.cycles\[2\],24.32
CPU.registerFile\[7\]\[28\],24.32
_08252_,24.32
_05594_,24.3
_07310_,24.3
_08265_,24.295
CPU.registerFile\[23\]\[25\],24.28
CPU.registerFile\[5\]\[15\],24.28
_02754_,24.28
_03509_,24.28
_05359_,24.28
_04158_,24.26
_05871_,24.26
_05294_,24.24
_03971_,24.22
_07026_,24.22
CPU.registerFile\[12\]\[5\],24.18
_08757_,24.18
_03903_,24.16
_05082_,24.16
net1282,24.12
_07762_,24.12
_05265_,24.07
_03357_,24.06
CPU.registerFile\[4\]\[12\],24.02
CPU.registerFile\[4\]\[10\],24
_04942_,24
_06208_,24
CPU.registerFile\[1\]\[0\],23.98
_04977_,23.98
CPU.registerFile\[9\]\[26\],23.96
_04236_,23.96
_04290_,23.96
_08843_,23.96
net1363,23.94
_05269_,23.9
_08752_,23.88
CPU.registerFile\[31\]\[2\],23.84
CPU.registerFile\[4\]\[0\],23.83
CPU.registerFile\[22\]\[10\],23.82
CPU.registerFile\[11\]\[14\],23.8
_04988_,23.78
_03044_,23.76
_07780_,23.76
CPU.registerFile\[21\]\[25\],23.74
_07119_,23.74
CPU.registerFile\[0\]\[2\],23.72
mapped_spi_ram.snd_bitcount\[4\],23.7
CPU.registerFile\[23\]\[20\],23.68
per_uart.uart0.rx_bitcount\[2\],23.66
_05715_,23.64
_05773_,23.64
CPU.registerFile\[15\]\[11\],23.62
CPU.cycles\[4\],23.605
CPU.cycles\[26\],23.58
_05308_,23.58
_07829_,23.57
CPU.registerFile\[23\]\[28\],23.56
CPU.registerFile\[12\]\[1\],23.54
CPU.registerFile\[6\]\[25\],23.535
_05336_,23.52
CPU.registerFile\[1\]\[31\],23.5
_03924_,23.5
_04321_,23.5
_05477_,23.5
_06492_,23.5
net2547,23.5
per_uart.uart0.tx_count16\[2\],23.48
_05937_,23.46
CPU.registerFile\[22\]\[6\],23.4
CPU.registerFile\[29\]\[9\],23.4
_05323_,23.4
_05635_,23.38
CPU.registerFile\[11\]\[5\],23.36
_05885_,23.36
_02718_,23.34
CPU.registerFile\[14\]\[1\],23.32
_04707_,23.32
_04870_,23.32
_08026_,23.32
_08821_,23.32
CPU.registerFile\[21\]\[28\],23.3
CPU.registerFile\[2\]\[25\],23.28
CPU.registerFile\[7\]\[15\],23.28
CPU.registerFile\[20\]\[6\],23.26
CPU.registerFile\[30\]\[4\],23.26
CPU.registerFile\[18\]\[22\],23.24
CPU.registerFile\[13\]\[15\],23.22
CPU.registerFile\[22\]\[23\],23.18
CPU.registerFile\[2\]\[19\],23.18
_03580_,23.18
_03609_,23.18
_08460_,23.18
_06227_,23.16
net1453,23.16
_05590_,23.12
CPU.registerFile\[24\]\[29\],23.1
_07878_,23.1
mapped_spi_ram.rcv_data\[29\],23.1
_07677_,23.09
_02855_,23.08
_03491_,23.08
_05280_,23.08
CPU.registerFile\[24\]\[27\],23.06
_05975_,23.06
_07199_,23.04
CPU.registerFile\[20\]\[21\],23.02
CPU.registerFile\[3\]\[6\],23.02
CPU.registerFile\[6\]\[24\],23
_08293_,23
_05295_,22.98
_05651_,22.98
_08829_,22.98
_03616_,22.96
_05382_,22.94
CPU.registerFile\[14\]\[23\],22.92
_03879_,22.92
CPU.registerFile\[28\]\[19\],22.9
CPU.registerFile\[8\]\[17\],22.9
_08104_,22.9
CPU.registerFile\[9\]\[31\],22.86
net983,22.86
_05400_,22.84
CPU.registerFile\[8\]\[2\],22.8
_04167_,22.8
per_uart.uart0.rxd_reg\[2\],22.8
CPU.registerFile\[6\]\[11\],22.78
CPU.registerFile\[30\]\[29\],22.76
_04274_,22.76
_03362_,22.7
clknet_leaf_8_clk,22.68
_05884_,22.66
CPU.registerFile\[12\]\[26\],22.64
CPU.registerFile\[29\]\[4\],22.62
_03463_,22.62
_04316_,22.62
CPU.registerFile\[21\]\[11\],22.6
_08772_,22.6
_02970_,22.58
_04955_,22.58
CPU.registerFile\[17\]\[23\],22.56
_04610_,22.56
_05346_,22.56
_06157_,22.56
_06358_,22.56
per_uart.uart0.rxd_reg\[8\],22.54
CPU.registerFile\[1\]\[4\],22.52
_05930_,22.52
CPU.cycles\[28\],22.505
CPU.aluReg\[3\],22.5
_04652_,22.5
_06196_,22.5
mapped_spi_ram.rcv_data\[30\],22.5
CPU.registerFile\[10\]\[7\],22.49
_08662_,22.48
net1431,22.465
_08273_,22.46
CPU.registerFile\[10\]\[20\],22.44
_05893_,22.42
_05286_,22.415
CPU.registerFile\[27\]\[31\],22.41
_03205_,22.38
_05612_,22.34
CPU.registerFile\[14\]\[10\],22.32
_02862_,22.32
CPU.registerFile\[7\]\[24\],22.3
_07759_,22.3
CPU.registerFile\[15\]\[0\],22.28
CPU.registerFile\[23\]\[18\],22.28
_05354_,22.28
CPU.state\[3\],22.26
_04280_,22.26
_04704_,22.26
_06591_,22.26
CPU.registerFile\[21\]\[16\],22.24
_06249_,22.24
clknet_0__04981_,22.24
_03112_,22.22
_08348_,22.22
CPU.registerFile\[22\]\[1\],22.2
CPU.registerFile\[26\]\[22\],22.2
_03322_,22.18
mapped_spi_flash.rcv_data\[8\],22.18
_05292_,22.165
CPU.registerFile\[6\]\[10\],22.14
net1673,22.12
_04659_,22.1
CPU.registerFile\[23\]\[10\],22.08
_04831_,22.08
net1309,22.08
CPU.registerFile\[27\]\[27\],22.06
_02799_,22.06
mapped_spi_flash.snd_bitcount\[3\],22.06
CPU.cycles\[0\],22.04
_08571_,22.04
_05597_,22.03
CPU.registerFile\[17\]\[25\],22
CPU.registerFile\[1\]\[25\],22
CPU.registerFile\[27\]\[1\],22
_02677_,22
_02767_,22
per_uart.uart0.tx_bitcount\[3\],22
net1457,22
net1442,21.98
CPU.registerFile\[11\]\[24\],21.96
CPU.registerFile\[13\]\[21\],21.94
CPU.registerFile\[19\]\[0\],21.94
CPU.registerFile\[11\]\[12\],21.92
CPU.registerFile\[20\]\[10\],21.92
_03422_,21.92
net130,21.9
_03753_,21.9
_04585_,21.88
_08658_,21.88
CPU.registerFile\[19\]\[3\],21.86
_05163_,21.845
CPU.registerFile\[11\]\[6\],21.82
CPU.registerFile\[25\]\[20\],21.82
_03867_,21.82
_03982_,21.82
CPU.cycles\[23\],21.81
CPU.registerFile\[12\]\[30\],21.81
CPU.registerFile\[20\]\[0\],21.78
CPU.rs2\[24\],21.78
_04694_,21.78
CPU.registerFile\[27\]\[26\],21.74
_02764_,21.7
_07614_,21.7
_04582_,21.68
_03240_,21.66
CPU.registerFile\[18\]\[11\],21.64
CPU.registerFile\[28\]\[31\],21.64
_04946_,21.64
_05195_,21.64
per_uart.rx_data\[5\],21.625
_08491_,21.6
_04461_,21.58
_04682_,21.58
CPU.registerFile\[17\]\[24\],21.56
clknet_0__08344_,21.56
CPU.registerFile\[6\]\[9\],21.54
_03395_,21.54
_06312_,21.54
CPU.registerFile\[25\]\[7\],21.52
net1618,21.52
_02013_,21.515
CPU.registerFile\[16\]\[19\],21.5
CPU.registerFile\[2\]\[18\],21.5
CPU.registerFile\[3\]\[8\],21.5
_02923_,21.5
_07721_,21.5
_05129_,21.48
net1971,21.48
_03800_,21.46
_06783_,21.46
_08732_,21.46
mapped_spi_flash.rcv_bitcount\[0\],21.46
clknet_0__08488_,21.45
CPU.registerFile\[12\]\[7\],21.44
net1403,21.4
CPU.registerFile\[2\]\[23\],21.38
_08507_,21.38
_03059_,21.36
_03226_,21.36
_04764_,21.36
_08692_,21.36
clknet_0__08510_,21.36
_08448_,21.34
net2603,21.34
CPU.registerFile\[22\]\[4\],21.32
CPU.registerFile\[28\]\[7\],21.32
_04251_,21.3
mapped_spi_ram.rcv_data\[25\],21.3
CPU.registerFile\[6\]\[13\],21.26
_08211_,21.26
_05121_,21.24
_05367_,21.24
CPU.registerFile\[23\]\[1\],21.22
CPU.registerFile\[31\]\[23\],21.2
_03955_,21.2
_04241_,21.2
_04368_,21.2
mapped_spi_flash.rcv_data\[1\],21.2
_02911_,21.16
CPU.registerFile\[7\]\[12\],21.14
_03685_,21.14
_04577_,21.14
_04051_,21.12
_06264_,21.12
CPU.registerFile\[31\]\[22\],21.08
_04118_,21.08
CPU.registerFile\[23\]\[7\],21.04
CPU.registerFile\[28\]\[5\],21.04
CPU.registerFile\[8\]\[23\],21.04
_04957_,21.04
net1577,21.04
_04738_,21.02
_05098_,21.02
_05957_,21
_03340_,20.98
_05389_,20.98
CPU.registerFile\[12\]\[9\],20.96
CPU.registerFile\[21\]\[19\],20.96
CPU.registerFile\[21\]\[23\],20.96
CPU.registerFile\[26\]\[8\],20.96
_07176_,20.96
CPU.registerFile\[15\]\[8\],20.955
CPU.registerFile\[18\]\[26\],20.94
CPU.registerFile\[18\]\[0\],20.92
CPU.registerFile\[27\]\[17\],20.92
_03594_,20.92
_06536_,20.92
per_uart.uart0.txd_reg\[5\],20.92
CPU.registerFile\[12\]\[22\],20.88
CPU.registerFile\[11\]\[1\],20.86
_03047_,20.86
_07723_,20.86
CPU.registerFile\[2\]\[30\],20.84
_07806_,20.84
CPU.registerFile\[18\]\[28\],20.82
_01309_,20.82
CPU.registerFile\[13\]\[2\],20.8
CPU.registerFile\[19\]\[11\],20.8
CPU.registerFile\[30\]\[30\],20.8
_04765_,20.8
_08245_,20.78
per_uart.d_in_uart\[2\],20.78
CPU.registerFile\[9\]\[30\],20.76
mapped_spi_flash.rcv_data\[4\],20.76
net1395,20.76
CPU.registerFile\[20\]\[16\],20.74
_04669_,20.72
CPU.registerFile\[15\]\[31\],20.7
_02879_,20.7
_08373_,20.7
_07595_,20.68
_08376_,20.68
_03506_,20.66
_04008_,20.66
net1606,20.64
_03386_,20.62
_03162_,20.6
_02729_,20.56
_04858_,20.56
_05021_,20.56
_08803_,20.56
net1546,20.54
CPU.registerFile\[5\]\[25\],20.52
CPU.registerFile\[15\]\[6\],20.5
CPU.registerFile\[31\]\[14\],20.5
_05440_,20.5
CPU.registerFile\[20\]\[8\],20.48
CPU.registerFile\[30\]\[5\],20.48
CPU.registerFile\[5\]\[16\],20.44
_04905_,20.42
net1575,20.4
_02607_,20.385
_06382_,20.38
CPU.registerFile\[17\]\[2\],20.36
net493,20.36
_03947_,20.36
_05609_,20.36
_05981_,20.34
CPU.registerFile\[10\]\[18\],20.32
net655,20.32
_05401_,20.3
_02793_,20.28
_03350_,20.28
_03456_,20.28
CPU.cycles\[8\],20.26
_05563_,20.26
CPU.registerFile\[7\]\[6\],20.24
_03253_,20.22
_05162_,20.22
_03831_,20.2
_04664_,20.2
CPU.registerFile\[21\]\[1\],20.18
CPU.registerFile\[25\]\[19\],20.18
CPU.registerFile\[1\]\[10\],20.16
CPU.registerFile\[6\]\[4\],20.16
_03178_,20.16
_04911_,20.16
_07513_,20.16
mapped_spi_flash.rcv_data\[2\],20.16
_02401_,20.145
_05629_,20.14
CPU.registerFile\[21\]\[22\],20.135
CPU.registerFile\[10\]\[9\],20.12
CPU.registerFile\[11\]\[31\],20.12
CPU.cycles\[27\],20.1
CPU.registerFile\[4\]\[11\],20.1
net650,20.1
_04670_,20.1
_08465_,20.1
_08738_,20.1
CPU.registerFile\[25\]\[14\],20.08
_03040_,20.08
_05579_,20.08
_06213_,20.08
CPU.registerFile\[17\]\[14\],20.06
CPU.registerFile\[26\]\[23\],20.06
_05886_,20.06
_08316_,20.06
_07808_,20.02
per_uart.uart0.txd_reg\[2\],20.02
net1362,20.02
CPU.registerFile\[13\]\[16\],19.98
_03624_,19.98
_05298_,19.98
_08259_,19.98
net1660,19.98
CPU.registerFile\[13\]\[28\],19.96
CPU.registerFile\[1\]\[28\],19.96
_02821_,19.96
CPU.registerFile\[9\]\[29\],19.94
_03673_,19.94
CPU.registerFile\[26\]\[7\],19.9
_02818_,19.9
_02994_,19.9
CPU.registerFile\[14\]\[26\],19.88
_03870_,19.88
_04724_,19.88
_05592_,19.88
_04902_,19.86
_06104_,19.86
CPU.registerFile\[25\]\[18\],19.855
_04730_,19.84
_08353_,19.84
per_uart.rx_data\[1\],19.825
CPU.registerFile\[19\]\[10\],19.82
net1505,19.82
_04799_,19.785
_04334_,19.78
net1416,19.78
CPU.registerFile\[17\]\[9\],19.76
_03070_,19.74
_03843_,19.74
_06008_,19.74
CPU.registerFile\[1\]\[16\],19.72
CPU.registerFile\[20\]\[30\],19.72
CPU.registerFile\[7\]\[26\],19.72
CPU.registerFile\[25\]\[24\],19.715
CPU.registerFile\[25\]\[11\],19.71
CPU.registerFile\[22\]\[8\],19.7
CPU.registerFile\[18\]\[31\],19.68
CPU.registerFile\[16\]\[7\],19.67
net314,19.66
_05415_,19.66
CPU.registerFile\[31\]\[6\],19.65
CPU.registerFile\[8\]\[13\],19.64
_04819_,19.64
CPU.registerFile\[2\]\[1\],19.62
CPU.registerFile\[5\]\[10\],19.62
_03421_,19.62
_08685_,19.62
CPU.registerFile\[26\]\[25\],19.6
CPU.registerFile\[22\]\[30\],19.58
_03372_,19.58
CPU.registerFile\[23\]\[17\],19.56
_04364_,19.56
CPU.registerFile\[8\]\[29\],19.55
CPU.registerFile\[23\]\[15\],19.54
_03315_,19.54
_03513_,19.54
net1638,19.54
net1443,19.525
CPU.registerFile\[9\]\[14\],19.52
_03214_,19.52
_03650_,19.52
_04011_,19.52
CPU.registerFile\[14\]\[4\],19.5
CPU.registerFile\[20\]\[31\],19.5
CPU.registerFile\[0\]\[1\],19.48
_03574_,19.48
_02885_,19.46
_08575_,19.46
mapped_spi_flash.cmd_addr\[23\],19.46
_05110_,19.45
CPU.registerFile\[29\]\[29\],19.44
CPU.registerFile\[9\]\[12\],19.44
_04826_,19.44
net1510,19.42
CPU.registerFile\[19\]\[27\],19.4
CPU.registerFile\[14\]\[15\],19.38
_05102_,19.38
_05952_,19.38
CPU.registerFile\[11\]\[26\],19.36
CPU.registerFile\[12\]\[21\],19.36
_04876_,19.36
CPU.registerFile\[13\]\[20\],19.34
CPU.registerFile\[20\]\[15\],19.32
CPU.registerFile\[26\]\[26\],19.32
_04317_,19.32
_07055_,19.32
CPU.registerFile\[28\]\[27\],19.3
_05796_,19.3
_04089_,19.28
_04324_,19.28
_05335_,19.28
CPU.registerFile\[20\]\[3\],19.26
CPU.registerFile\[14\]\[7\],19.24
CPU.registerFile\[22\]\[16\],19.24
CPU.registerFile\[28\]\[6\],19.22
_06052_,19.22
net1389,19.22
CPU.registerFile\[22\]\[17\],19.2
CPU.registerFile\[26\]\[12\],19.2
net981,19.2
_05653_,19.2
_07608_,19.2
_07843_,19.2
