net,length_um
_07364_,276.44
_03726_,276.4
_05422_,276.315
_05526_,275.73
_06992_,275.66
CPU.Bimm\[9\],275.355
_07316_,274.52
_08513_,274.23
_06140_,274.22
CPU.mem_wdata\[5\],273.87
_05766_,273.58
_03833_,273.2
_02953_,273.08
_03212_,272.57
_07330_,272.3
_06973_,272.18
CPU.aluIn1\[19\],271.9
_03033_,271.8
CPU.aluIn1\[13\],271.52
CPU.Bimm\[5\],271.08
_06148_,271.02
CPU.aluIn1\[8\],270.56
_07968_,270.38
_07320_,270.03
_04160_,269.99
_07562_,269.72
CPU.Bimm\[7\],269.39
_07696_,269.15
_08547_,269.05
_03755_,268.89
_04314_,268.89
_07490_,268.175
CPU.aluIn1\[4\],268.04
_05839_,267.58
CPU.Iimm\[1\],267.56
CPU.Iimm\[2\],267.16
_06607_,267.02
per_uart.uart0.uart_rxd2,266.97
_06596_,266.47
_03043_,266.125
_03875_,265.15
_08416_,265.095
_08535_,264.86
_07859_,264.38
_05520_,264.32
_03460_,263.94
_04768_,262.84
_03242_,262.17
_06599_,262.13
_07378_,262.08
_04120_,261.8
CPU.aluIn1\[12\],260.87
_06738_,260.79
_06555_,260.76
_03697_,260.59
clknet_1_1__leaf__03654_,260.58
_06676_,260.5
_06861_,260.5
_05284_,258.52
_05735_,258.42
_04604_,258.21
_07704_,258.02
_06508_,257.92
_06659_,257.84
_08582_,257.75
CPU.aluIn1\[3\],257.53
clknet_1_1__leaf__08486_,256.77
_05734_,256.76
_08554_,256.68
_04146_,256.5
_07322_,256.36
CPU.aluIn1\[23\],256.26
_06304_,255.82
_02937_,255.78
_06528_,255.4
_03495_,254.36
CPU.aluIn1\[9\],254.04
_07646_,253.75
_06141_,253.34
_05805_,253.22
_07311_,253.04
_05786_,252.67
_03872_,252.46
_05739_,252.37
_03425_,251.62
_06037_,251.43
clknet_1_0__leaf__08484_,250.785
_05855_,250.46
_08145_,249.99
_08580_,249.5
_04279_,249.42
_08546_,249.34
_06557_,248.62
_06593_,248.37
per_uart.tx_busy,246.895
net1340,246.62
_03949_,246.6
CPU.aluIn1\[22\],246.44
_07993_,244.81
_05856_,244.24
_07324_,244.09
_04564_,243.83
_04733_,243.34
_08722_,242.39
_06601_,241.04
_03388_,240.98
_03741_,240.91
clknet_1_0__leaf__03652_,240.53
_07598_,240.24
_02795_,240.09
CPU.Bimm\[1\],240
_03761_,239.84
_03153_,239.83
_07693_,239.77
CPU.aluIn1\[0\],239.68
_05770_,238.23
_03389_,237.44
_07002_,237.26
_06202_,236.04
_02914_,236
_08404_,235.8
_05767_,235.77
_03759_,235.32
_08550_,234.73
_06326_,234.66
_04680_,234.54
clknet_1_0__leaf__08478_,233.51
_03199_,233.21
_04138_,232.32
_05769_,232.06
_06291_,231.38
net3,231.28
_07370_,231.22
_05820_,230.29
_08558_,230.195
_07427_,229.96
clknet_1_1__leaf__08495_,229.88
_03255_,228.94
_04327_,228.895
CPU.aluIn1\[10\],228.73
_07372_,227.68
_03114_,227.63
_03013_,227.29
_03202_,226.92
clknet_0__03656_,226.82
_06266_,226.41
_03078_,225.65
_06580_,224.86
_07694_,224.785
_08533_,224.76
_02991_,224.13
_08562_,224
_07368_,223.64
_03319_,223.4
_02779_,223.19
_06223_,222.85
_04383_,222.65
_03734_,222.4
CPU.writeBack,222.38
_06750_,222.32
_04996_,222.295
_08609_,222.12
clknet_1_0__leaf__08503_,221.99
_03155_,221.815
_07609_,221.62
_02877_,221.27
_08341_,221.18
_05425_,221.01
_03530_,220.98
_04022_,220.36
_05522_,218.58
_06175_,218.22
_08718_,217.62
_07884_,217.23
_03353_,217.22
_08228_,216.735
_08216_,216.51
clknet_1_0__leaf__08506_,216.475
_04943_,216.32
_02903_,216.1
_05749_,216.02
_06144_,215.68
_06315_,215.49
_04410_,215.3
_04402_,215.28
_05818_,215.06
clknet_0__08458_,214.64
_03991_,214.285
_03354_,214.08
_07931_,213.9
_06360_,213.84
_07009_,213.84
_03049_,213.77
_04526_,213.5
clknet_1_1__leaf__08440_,213.45
_08167_,213.12
_04785_,213.1
CPU.Bimm\[11\],212.54
_03424_,212.4
_04105_,212.03
_03318_,211.57
_05759_,211.29
clknet_1_1__leaf__08340_,211.05
clknet_1_0__leaf__08441_,210.85
_06869_,210.725
_03910_,210.48
_06605_,210.46
_06569_,210.45
_05836_,210.37
_02748_,210.12
_06012_,208.78
_05875_,208.72
_07573_,208.605
clknet_1_1__leaf__03691_,208.53
clknet_1_1__leaf__08434_,208.47
clknet_1_1__leaf__03652_,207.93
_03565_,207.83
clknet_1_1__leaf__08497_,207.42
_07333_,206.44
_02750_,206.345
_06353_,206.34
_03163_,206.05
_08566_,206.02
clknet_1_0__leaf__08341_,205.93
_08217_,205.76
_03708_,205.19
_05515_,205.03
_05532_,205
_08203_,204.875
clknet_1_0__leaf__08495_,204.31
_06701_,204.23
_05736_,204.02
_06134_,204
_06597_,203.92
_05535_,203.735
_03156_,203.62
_04024_,203.275
_05748_,203.005
_05168_,202.91
_08523_,202.45
_05523_,202.32
_08568_,202.02
_06739_,201.955
CPU.Iimm\[0\],201.5
_06558_,201.46
_07415_,201.25
_02998_,201.24
_02864_,201.04
_04750_,200.58
_04873_,200.12
_06761_,199.56
_05424_,199.33
_03735_,198.96
_04153_,198.875
_03883_,198.71
clknet_0__08473_,198.28
_05850_,198.23
_02982_,197.9
_04042_,197.84
_03770_,197.75
clknet_1_0__leaf__03678_,197.67
_03291_,197.64
_04335_,197.51
_07920_,197.43
_04099_,197.16
_04056_,196.915
_07390_,196.75
_03703_,196.71
_03133_,196.57
_06827_,196.54
_04545_,196.48
_04365_,196.08
_03243_,195.96
_06816_,195.95
_04367_,195.37
_08415_,195.14
_07634_,195.03
clknet_1_0__leaf__08451_,194.65
_05859_,194.6
_05556_,194.45
_08864_,194.415
_08783_,193.81
_07201_,193.78
_03080_,193.67
_04908_,193.505
_04978_,193.24
_06724_,192.88
_05860_,192.84
_06336_,192.79
_03601_,192.55
_04569_,192.07
_07273_,191.88
clknet_1_1__leaf__08473_,191.88
_07464_,191.2
_06603_,191.12
net1339,191.04
_03709_,190.92
_08388_,190.81
CPU.Jimm\[13\],190.7
_05822_,190.09
_05870_,189.75
_03771_,189.56
_07749_,189.355
_05659_,189.205
_06815_,188.91
_08586_,188.56
_07212_,188.245
_05427_,187.82
_02887_,187.38
_04820_,187.32
clknet_1_1__leaf__04985_,187.18
_07489_,187.02
_06880_,186.94
_03098_,186.785
_08420_,186.78
_03707_,186.695
_04102_,186.69
_08851_,186.42
_03979_,185.68
_02993_,185.53
_03749_,185.31
_03010_,185.26
_05781_,185.26
clknet_1_0__leaf__03643_,185.1
_04101_,185.025
_08802_,184.865
_06411_,184.8
_05536_,184.72
_04201_,184.54
clknet_1_1__leaf__05015_,184.06
_04122_,183.955
_04557_,183.86
_08156_,183.82
_08108_,183.285
_05243_,183.12
_04421_,182.935
clknet_1_1__leaf__08370_,182.68
_05530_,182.08
_08255_,182.075
_04698_,181.84
_08693_,181.54
_04500_,181.31
_03188_,180.92
_03751_,180.9
_03105_,180.86
_03018_,180.82
_04494_,180.74
CPU.instr\[2\],180.69
_05533_,180.635
_08028_,180.62
_04015_,180.555
CPU.PC\[21\],180.3
_04982_,180.1
clknet_1_0__leaf__03681_,179.89
_08064_,179.88
clknet_1_0__leaf__08366_,179.88
_06985_,179.76
_04584_,179.74
_07957_,179.32
_07895_,179.04
_07537_,178.73
_07223_,178.24
_05794_,178.16
_03050_,178.14
_08462_,178.14
_03923_,178.13
CPU.Iimm\[4\],177.9
_07354_,177.9
_06385_,177.88
_04322_,177.52
